,precision,recall,f1-score,support
DoS,0.9618725868725869,0.8016894609814964,0.8745063624396666,7458.0
Probe,0.845703125,0.7154068566707972,0.7751174759454016,2421.0
R2L,0.9382716049382716,0.10537261698440208,0.18946712371455282,2885.0
U2R,0.7391304347826086,0.2537313432835821,0.37777777777777777,67.0
normal,0.6763333572607853,0.9702399340953558,0.797056086625497,9711.0
macro avg,0.8322622217708504,0.5692880424031268,0.6027849653005791,22542.0
weighted avg,0.8227043549932388,0.7742879957412829,0.7413167988903666,22542.0
