,precision,recall,f1-score,support
DoS,0.9610868835961087,0.7683024939662108,0.8539493293591653,7458.0
Probe,0.842156862745098,0.7096241222635274,0.7702308899349922,2421.0
R2L,0.97,0.20173310225303293,0.3340028694404591,2885.0
U2R,0.42424242424242425,0.417910447761194,0.4210526315789474,67.0
normal,0.677598385469223,0.968077437956956,0.7972016111935553,9711.0
macro avg,0.7750169112105707,0.6131295208401842,0.6352874663014239,22542.0
weighted avg,0.8257332936865197,0.7745098039215687,0.7526801851586107,22542.0
