,precision,recall,f1-score,support
DoS,0.9119155354449472,0.8106731027085009,0.8583191368540601,7458.0
Probe,0.827027027027027,0.8847583643122676,0.8549191778088205,2421.0
R2L,0.9305210918114144,0.25996533795493937,0.406393931183961,2885.0
U2R,0.07452339688041594,0.6417910447761194,0.13354037267080743,67.0
normal,0.7422732222129157,0.9125733704046957,0.8186605080831408,9711.0
macro avg,0.697252054675344,0.7019522440313045,0.6143666253201581,22542.0
weighted avg,0.829609625328604,0.7915446721675096,0.780876113147138,22542.0
