Model,Train Accuracy,Test Accuracy,Difference
Gradient Boosting,0.9994046343264033,0.7867979771093958,0.21260665721700744
KNN,0.9978566835750518,0.7663472628870552,0.23150942068799651
Logistic Regression,0.9890532098148016,0.7614674829207702,0.22758572689403145
Decision Tree,0.9974756495439498,0.7531718569780853,0.24430379256586454
Random Forest,0.9955625411794591,0.738887410167687,0.2566751310117721
