,precision,recall,f1-score,support
DoS,0.9626865671641791,0.830249396621078,0.8915766738660906,7458.0
Probe,0.7924528301886793,0.6765799256505576,0.729946524064171,2421.0
R2L,0.9727463312368972,0.1608318890814558,0.27602617489589526,2885.0
U2R,0.8,0.29850746268656714,0.43478260869565216,67.0
normal,0.6958127169337568,0.9702399340953558,0.8104249096851884,9711.0
macro avg,0.8447396891047025,0.5872817216270029,0.6285513782413995,22542.0
weighted avg,0.830239338992077,0.7867979771093958,0.7591199368185073,22542.0
