Model,Train Accuracy,Test Accuracy,Difference
Logistic Regression,0.9490922658029896,0.7915446721675096,0.15754759363548
Random Forest,0.9954196534177959,0.7725578919350545,0.2228617614827414
Gradient Boosting,0.9963166710326816,0.7685209830538551,0.22779568797882654
Decision Tree,0.9844252339787097,0.7532162186141425,0.23120901536456728
KNN,0.999944432537131,0.7521959009848284,0.2477485315523026
