Model,Train Accuracy,Test Accuracy,Difference
Gradient Boosting,0.9942285714285715,0.7978440244876231,0.1963845469409483
Random Forest,0.9958285714285714,0.7692307692307693,0.22659780219780212
KNN,0.9999714285714286,0.7555230236891136,0.244448404882315
Decision Tree,0.9911571428571428,0.7290834885990596,0.26207365425808327
Logistic Regression,0.4886285714285714,0.34437938071156066,0.14424919071701076
