,precision,recall,f1-score,support
DoS,0.9638142568721851,0.8321265754894074,0.893142404835576,7458.0
Probe,0.8142241379310344,0.7802560925237505,0.7968782957182029,2421.0
R2L,0.8571428571428571,0.1580589254766031,0.266900790166813,2885.0
U2R,0.3090909090909091,0.5074626865671642,0.384180790960452,67.0
normal,0.7153184689140857,0.9679744619503655,0.8226851041484334,9711.0
macro avg,0.7319181259902143,0.6491757484014581,0.6327574771658955,22542.0
weighted avg,0.8250992481179449,0.7978440244876231,0.7707897412921896,22542.0
