Model,Train Accuracy,Test Accuracy,Difference
Gradient Boosting,0.9976741047684822,0.7742879957412829,0.22338610902719924
Random Forest,0.9954196534177959,0.7726466152071688,0.2227730382106271
Decision Tree,0.9844252339787097,0.7517522846242569,0.23267294935445282
KNN,0.999944432537131,0.7479815455594002,0.2519628869777307
Logistic Regression,0.9191652179435276,0.7184366959453464,0.20072852199818114
